t,coherence,reward,collapse_event,node_0_x,node_0_y,node_1_x,node_1_y,node_2_x,node_2_y,node_3_x,node_3_y,node_4_x,node_4_y,node_5_x,node_5_y,node_6_x,node_6_y,node_7_x,node_7_y,node_8_x,node_8_y,node_9_x,node_9_y,node_10_x,node_10_y,node_11_x,node_11_y
372,0.7185414623412673,-0.28145853765873274,0,0.26995574145553236,0.5924614409581193,0.2600317633958491,0.6035430434541633,0.2785148099522429,0.6155024331458976,0.2855371381731229,0.585075806879882,0.28095025558762105,0.5916330218373622,0.2936996278862555,0.6211888625374921,0.2646889829541295,0.6131153806485943,0.27849038239054685,0.6042690880494387,0.27135404685229686,0.5981194395575441,0.2792766371044715,0.5886216244901659,0.27355047374926655,0.6119845967077578,0.31078996146115345,0.5904115246566768
373,0.7194794489158788,-0.2805205510841212,0,0.2680490914222431,0.5930997468867093,0.26048070653740446,0.5985486997053323,0.2791023568067152,0.6164089141589106,0.2861245912293345,0.5882511749525684,0.2815613040134478,0.5877852327228479,0.2891242676534668,0.6211605246149032,0.2631494916468365,0.6083224223353585,0.277807056626182,0.6046652190566495,0.27001897031385513,0.6004841640307709,0.2806956772509374,0.5875850863054205,0.27636684127156586,0.6129386767265466,0.31057008309595185,0.5914915848605599
374,0.7175953993414086,-0.2824046006585914,0,0.2636899103564662,0.5954545874036284,0.26014646594607554,0.603092117848138,0.2822564635016012,0.6165101691727639,0.2832695583105102,0.5859205461642024,0.2798164640140007,0.5882064065489914,0.2865580861956327,0.6202965493645687,0.26057509814407626,0.6127281853733313,0.2739253261689726,0.6087961555268465,0.27458317873663907,0.600758316673913,0.28283937293120115,0.5876110709963611,0.2777782218078617,0.6107422582909161,0.3069825459634585,0.5927440595057127
375,0.7177444679090733,-0.2822555320909267,0,0.2643717977974681,0.5965724734869026,0.2588908346786274,0.6017023420358567,0.27786770614979567,0.6113026761988035,0.2805257379087003,0.5824622392112535,0.27574847411663345,0.5920206220374369,0.2815040050730034,0.6209664015976434,0.2591570069420118,0.6159024846737017,0.27396406892328434,0.6065073641057381,0.27491549537368687,0.5996352327926258,0.2832255011483248,0.5844710978917622,0.28274430196257955,0.6095559559152932,0.30400081127934464,0.5953042067755455
376,0.7194946558453684,-0.2805053441546316,0,0.26361268422818745,0.600144939099189,0.2593094824439397,0.6038811553030622,0.2738693352623642,0.6142670804807585,0.2826771131366858,0.5805246412716545,0.27223439276389905,0.5906508606591653,0.28600999293531165,0.6175547434997758,0.259580910940017,0.610475908933534,0.2730586230284219,0.6069635422911263,0.2795214489857216,0.5998891778387392,0.28607578160832486,0.5857871656592071,0.27783541925444516,0.6072965871077703,0.30337674804932785,0.6001132823324234
377,0.7137341773870488,-0.2862658226129512,0,0.2678448616669431,0.5974943694713364,0.25736661467458705,0.6007719483943664,0.2782223655149237,0.6171535091730561,0.2851135998550337,0.5804988815356324,0.27248798822134446,0.5908347562594769,0.2830649824167925,0.6168004079715931,0.2557283389241964,0.6063433384071503,0.27709309589134296,0.6092052840322025,0.2785955686796791,0.6001393437549594,0.2842934894401611,0.5889787272331718,0.2806070281366964,0.6096377308397318,0.30425553594785865,0.5972257827880486
378,0.7046435144871531,-0.2953564855128469,0,0.2666851244983739,0.5973809556803593,0.2566590199775074,0.6033456033089845,0.27645758860405023,0.6127410049150097,0.28370113050513823,0.5863359321194277,0.26997520906198613,0.5924774553686883,0.2820942699167231,0.6117334835822598,0.2566734941603403,0.6081106651060288,0.2772234469774272,0.6125289308008113,0.27640796653464417,0.596057718613004,0.28829727720710624,0.5883746046995484,0.2811935383667711,0.6121387258918002,0.3011387019115947,0.5995889893631753
379,0.704434126059355,-0.29556587394064504,0,0.2635238349704737,0.5955115706577676,0.2540919535388375,0.6063773540169201,0.27367997972495584,0.6143647155126826,0.2877678361511781,0.5873835828935163,0.270695518730334,0.5925506435706033,0.2800672360536636,0.6109900850017672,0.25868667297383113,0.6126517728618053,0.28155869842057835,0.6156107391330732,0.2802976517638008,0.5960200498046455,0.28927563481736585,0.5929932669833043,0.2798821472971863,0.6162361396700361,0.29905840563554703,0.6007070918383199
380,0.7039641008983007,-0.29603589910169925,0,0.2662731302299977,0.6004143998054071,0.2526609584777423,0.608692283648229,0.2740315764754728,0.6115045386930233,0.2899729526169071,0.5887091141003475,0.272597920875638,0.5913246096276207,0.27970405364458045,0.611786610811328,0.258628887343162,0.6091753971669606,0.28592460829802646,0.6151173651266142,0.2824494127538117,0.5955020067997423,0.2871906105920787,0.5925877341685789,0.27880744624550746,0.6160386213957223,0.29836762392890726,0.6008157629550012
381,0.7093607887860821,-0.2906392112139179,0,0.2631682031571798,0.6005280531180528,0.2505798211475693,0.6046926458466859,0.2785173264146185,0.6121524304077599,0.2909300771568152,0.5884652136165746,0.2769187053405124,0.593311302559947,0.2822714212470949,0.6100565234789495,0.26415843337370276,0.6120948587281064,0.2890287341027782,0.6112570580624518,0.27989744578434095,0.5937567909745017,0.2844010438844511,0.5966860475991036,0.27404679347482563,0.6111713087336547,0.29504926302826856,0.5979473230716563
