episode,map,scen,agents,reward,completed,completion_rate,collisions,recovery_invocations,recovery_forced,recovery_resolved,recovery_wasted,recovery_preemptive,recovery_preemptive_success,errors_injected,handovers_completed,retired_recalled,action_override_rate,gradient_agreement,mean_hops_remaining,loss_goal,loss_safety,loss_integrity,loss_rescue,loss_time
11,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed3.csv,25,-9402.000001370907,25,1.0,0,0,0,0,261,0,0,1,1,1,0.09558541266794626,0.3746641074856046,0.0,0.17247450245799972,0.0002392191425824466,1.6816666643409168,0.0028028113466793112,0.010333920671994337
12,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed1.csv,25,-11881.270777970552,23,0.92,0,3,0,0,454,3,2,2,1,2,0.07301540284360189,0.39588270142180093,12.75,0.16997537524081194,0.0002169781433680421,1.665908462802569,0.004688982484216918,0.009001731302076876
13,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed4.csv,25,-16674.499923348427,23,0.92,0,0,0,0,467,0,0,3,3,1,0.08550884955752212,0.3959070796460177,14.0,0.16794464536584341,0.00021776455196333863,1.6499591371951958,0.004554114002709461,0.00968474101312798
14,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed8.csv,55,-4396.93523106724,54,0.9818181818181818,0,27,0,0,395,27,26,1,1,1,0.08442886356996787,0.4018891810302853,8.044998168945312,0.17790513317554424,0.00018126551069162116,1.6980931683992728,0.0047111670745206445,0.011480486007157873
15,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed1.csv,55,-17689.200426459312,55,1.0,0,0,0,0,412,0,0,2,2,2,0.05904544656957361,0.4065625548341814,0.0,0.18291116747391092,0.00017988404237495776,1.6872941019770864,0.004409983910170053,0.01088226028875127
16,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed4.csv,25,-15699.600157499313,23,0.92,0,0,0,0,416,0,0,3,3,2,0.05613348439592131,0.41610876506334327,24.0,0.18606094979704954,0.00018715517430252523,1.6959539855137848,0.004819354959830454,0.011020661895464657
17,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed0.csv,25,-2369.799973398447,25,1.0,0,2,0,0,293,2,2,1,1,1,0.041806530363137015,0.43149221849252367,0.0,0.18818587105089146,0.0001751281801986744,1.7295215060994944,0.004238181766020786,0.01200942784231919
18,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed1.csv,25,-8166.869884155691,25,1.0,0,7,0,0,300,7,7,2,2,1,0.04252400548696845,0.448559670781893,0.0,0.19498194975091476,0.000167283832261809,1.7058599244505734,0.004906737388530372,0.0128060239807998
19,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed1.csv,25,-4740.218890011311,24,0.96,0,1,0,0,176,1,1,2,1,0,0.03971486761710794,0.4332993890020367,0.0,0.19468193373103052,0.00016551367565760384,1.7072067184812705,0.005220376050132203,0.010922692684770174
20,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed3.csv,25,-10501.30358093977,23,0.92,0,3,0,0,416,3,2,3,3,3,0.040740740740740744,0.4503429355281207,21.75,0.2000607347641236,0.00015683527557840558,1.7157688749142181,0.005079948718545921,0.0105829591438683
